System,Dataset,MAE_1e_08,RMSE_1e_08,MAPE_1e_08,MAE_1e_05,RMSE_1e_05,MAPE_1e_05,MAE_1_0,RMSE_1_0,MAPE_1_0,MAE_10_0,RMSE_10_0,MAPE_10_0,Best_Ridge,MAE_Best,RMSE_Best,MAPE_Best
dual-channel.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,dual-channel.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.615214,0.844587,0.236479,0.615214,0.844587,0.236479,0.615191,0.844582,0.236448,0.614995,0.844555,0.236190,5.267520,0.615093,0.844567,0.236322
helix.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,helix.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,1.111956,1.540129,0.257960,1.111956,1.540129,0.257960,1.111919,1.540127,0.257920,1.111595,1.540126,0.257558,0.000000,1.111956,1.540129,0.257960
single-channel.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,single-channel.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.331897,0.435385,0.194303,0.331897,0.435385,0.194303,0.331886,0.435384,0.194292,0.331798,0.435379,0.194200,1.613044,0.331879,0.435383,0.194285
speech.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,speech.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.822939,1.038777,0.202997,0.822939,1.038777,0.202997,0.822915,1.038775,0.202990,0.822731,1.038792,0.202939,5.267520,0.822820,1.038776,0.202961
sweep.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,sweep.wav-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.070068,0.088783,0.121004,0.070068,0.088783,0.121004,0.070066,0.088782,0.120993,0.070052,0.088778,0.120893,1.613044,0.070065,0.088782,0.120986
ambivert-weka.filters.unsupervised.attribute.ReplaceMissingValues,ambivert-weka.filters.unsupervised.attribute.ReplaceMissingValues,17.304382,27.932448,1.524939,17.304382,27.932448,1.524939,17.303015,27.932114,1.524923,17.290841,27.929207,1.524801,2.310769,17.301225,27.931679,1.524903
artificl-weka.filters.unsupervised.attribute.ReplaceMissingValues,artificl-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.199916,0.289166,0.499935,0.199916,0.289166,0.499935,0.199903,0.289162,0.499893,0.199790,0.289123,0.499515,2.310769,0.199887,0.289156,0.499838
deepfield-weka.filters.unsupervised.attribute.ReplaceMissingValues,deepfield-weka.filters.unsupervised.attribute.ReplaceMissingValues,19.237538,29.242645,17.980044,19.237538,29.242645,17.980044,19.235890,29.242299,17.977865,19.221162,29.239290,17.958334,2.310769,19.233735,29.241850,17.975011
enwik8-weka.filters.unsupervised.attribute.ReplaceMissingValues,enwik8-weka.filters.unsupervised.attribute.ReplaceMissingValues,40.462164,62.944041,2.898386,40.462164,62.944041,2.898386,40.458577,62.943220,2.898044,40.426585,62.935987,2.895013,2.310769,40.453886,62.942148,2.897599
fannie,fannie_mae_500k-weka.filters.unsupervised.attribute.ReplaceMissingValues,35.582308,54.293639,4.516078,35.582308,54.293639,4.516078,35.579290,54.292986,4.515402,35.552390,54.287228,4.509408,2.310769,35.575341,54.292134,4.514516
large-weka.filters.unsupervised.attribute.ReplaceMissingValues,large-weka.filters.unsupervised.attribute.ReplaceMissingValues,4.480617,6.940896,1.524893,4.480617,6.940896,1.524893,4.480210,6.940805,1.524635,4.476593,6.940007,1.522351,2.310769,4.479679,6.940687,1.524299
misc-weka.filters.unsupervised.attribute.ReplaceMissingValues,misc-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.414028,0.614752,0.497091,0.414028,0.614752,0.497091,0.413996,0.614743,0.497052,0.413706,0.614662,0.496701,2.310769,0.413953,0.614731,0.497000
silesia-weka.filters.unsupervised.attribute.ReplaceMissingValues,silesia-weka.filters.unsupervised.attribute.ReplaceMissingValues,84.194090,130.700420,3.217641,84.194090,130.700420,3.217641,84.186753,130.698737,3.217259,84.121204,130.683919,3.213842,2.310769,84.177147,130.696543,3.216758
vmlinux-weka.filters.unsupervised.attribute.ReplaceMissingValues,vmlinux-weka.filters.unsupervised.attribute.ReplaceMissingValues,163.341950,223.402995,29.368950,163.341950,223.402995,29.368950,163.325627,223.402126,29.361917,163.180307,223.395231,29.299114,2.310769,163.304251,223.401018,29.352709
ambivert.wav.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,ambivert.wav.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,15.087047,23.988348,1.552562,15.087046,23.988347,1.552562,15.070070,23.960714,1.550865,14.940586,23.755367,1.538091,9.832204,14.942521,23.758609,1.538273
artificl.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,artificl.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,1.242238,1.360673,13.978618,1.242239,1.360673,13.978619,1.243888,1.360517,14.000799,1.257686,1.359784,14.186464,9.832204,1.257445,1.359788,14.183216
deepfield.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,deepfield.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,14.953868,23.359245,1.580543,14.953868,23.359245,1.580543,14.931310,23.327276,1.577718,14.770104,23.086569,1.557538,9.832204,14.772523,23.090416,1.557813
enwik8.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,enwik8.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,21.125824,30.423907,1.116697,21.125824,30.423906,1.116697,21.101801,30.393704,1.114589,21.036634,30.314860,1.105199,1.310134,21.094500,30.384589,1.113947
fannie,fannie_mae_500k.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,5.706627,7.977516,0.130268,5.706627,7.977516,0.130268,5.698968,7.969265,0.130070,5.706351,7.955175,0.130208,9.832204,5.707181,7.956003,0.130230
large.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,large.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,2.444923,3.150694,1.055930,2.444923,3.150694,1.055930,2.374723,3.099226,1.033683,2.371132,3.093593,1.034623,9.832204,2.371195,3.093685,1.034606
misc.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,misc.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,1.226255,1.353572,2.677811,1.226255,1.353572,2.677811,1.227487,1.353635,2.682078,1.237804,1.354710,2.717818,9.832204,1.237624,1.354682,2.717193
silesia.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,silesia.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,35.515696,50.715596,1.292946,35.515696,50.715595,1.292946,35.470269,50.659884,1.290274,35.305885,50.454275,1.276500,1.310134,35.456449,50.643045,1.289460
uiq-32.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,uiq-32.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,59.050210,83.271869,2.086582,59.050209,83.271869,2.086582,58.993020,83.195352,2.082843,58.512992,82.437544,2.065509,9.832204,58.519968,82.444537,2.065967
uiq2-16.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,uiq2-16.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,32.328154,46.525056,1.862708,32.328154,46.525056,1.862708,32.296655,46.476228,1.859962,32.064068,46.108401,1.839734,1.310134,32.287076,46.461467,1.859126
uiq2-4.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,uiq2-4.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,7.672590,11.233535,1.290929,7.672590,11.233535,1.290929,7.662393,11.221564,1.289185,7.641689,11.189594,1.286985,9.832204,7.642764,11.190873,1.287178
uiq2-8.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,uiq2-8.bin-weka.filters.unsupervised.attribute.ReplaceMissingValues,15.815386,22.688773,1.504928,15.815386,22.688773,1.504928,15.800818,22.667281,1.503004,15.637920,22.417530,1.508631,9.832204,15.639789,22.419648,1.508931
vmlinux-5.10.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,vmlinux-5.10.tar-weka.filters.unsupervised.attribute.ReplaceMissingValues,5.068458,7.154540,0.849159,5.068458,7.154540,0.849159,5.062773,7.148757,0.848172,5.016939,7.103977,0.840259,9.832204,5.017715,7.104708,0.840393
blue,blue_sky_1080p25_short.y4m-weka.filters.unsupervised.attribute.ReplaceMissingValues,3.095951,3.999953,0.760379,3.095951,3.999953,0.760379,3.095397,3.999676,0.759642,3.090575,3.997611,0.753092,1.114762,3.095333,3.999644,0.759558
Johnny,Johnny_1280x720_60_short.y4m-weka.filters.unsupervised.attribute.ReplaceMissingValues,2.544591,3.320333,0.858238,2.544591,3.320333,0.858238,2.544094,3.320141,0.857420,2.539780,3.318734,0.850176,8.001060,2.540716,3.318998,0.851766
Netflix,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m-weka.filters.unsupervised.attribute.ReplaceMissingValues,8.604105,11.105757,0.762029,8.604105,11.105756,0.762029,8.602447,11.104972,0.761289,8.588069,11.099133,0.754736,8.001060,8.591122,11.100242,0.756163
pedestrian,pedestrian_area_1080p25_short.y4m-weka.filters.unsupervised.attribute.ReplaceMissingValues,3.516266,4.525786,0.693540,3.516266,4.525786,0.693540,3.515584,4.525429,0.692847,3.509506,4.522735,0.686664,4.547831,3.513174,4.524255,0.690396
riverbed,riverbed_1080p25_short.y4m-weka.filters.unsupervised.attribute.ReplaceMissingValues,6.549325,8.607895,0.640825,6.549325,8.607895,0.640825,6.548086,8.607088,0.640203,6.537140,8.600792,0.634656,1.864421,6.547016,8.606408,0.639665
sd,sd_bridge_close_cif_short.y4m-weka.filters.unsupervised.attribute.ReplaceMissingValues,0.140575,0.178919,0.516392,0.140575,0.178919,0.516392,0.140546,0.178902,0.515918,0.140291,0.178774,0.511712,4.547831,0.140443,0.178847,0.514244
sd,sd_city_4cif_short.y4m-weka.filters.unsupervised.attribute.ReplaceMissingValues,1.455871,1.865428,0.801862,1.455871,1.865428,0.801862,1.455624,1.865313,0.801109,1.453477,1.864469,0.794399,4.547831,1.454759,1.864941,0.798444
