Dataset,Ridge,MAE,RMSE,MAPE
silesia.tar,9.83220392,31.811850,47.606964,1.203599
uiq-32.bin,0.00000001,59.652144,80.116732,2.198290
uiq-32.bin,0.00010000,56.202678,78.526681,1.844337
uiq-32.bin,1.00000000,49.994060,67.312344,2.240979
uiq-32.bin,10.00000000,56.380621,88.380681,1.879981
uiq-32.bin,9.83220392,51.024344,71.426020,2.056357
uiq2-16.bin,0.00000001,31.664857,42.428657,1.994500
uiq2-16.bin,0.00010000,30.725979,44.907313,1.630805
uiq2-16.bin,1.00000000,26.249182,33.832865,2.087761
uiq2-16.bin,10.00000000,31.260738,49.160155,1.723392
uiq2-16.bin,9.83220392,29.473215,45.361502,1.747245
uiq2-4.bin,0.00000001,7.294031,9.980610,1.321749
uiq2-4.bin,0.00010000,7.293366,11.353486,1.131998
uiq2-4.bin,1.00000000,6.264854,8.946311,1.391997
uiq2-4.bin,10.00000000,7.913542,12.808450,1.155001
uiq2-4.bin,9.83220392,7.050737,11.043979,1.180349
uiq2-8.bin,0.00000001,15.461184,20.599360,1.594982
uiq2-8.bin,0.00010000,15.590378,23.448687,1.310475
uiq2-8.bin,1.00000000,13.011154,16.718474,1.651050
uiq2-8.bin,10.00000000,15.854248,25.502864,1.342981
uiq2-8.bin,9.83220392,14.749779,22.613037,1.420597
vmlinux-5.10.tar,0.00000001,5.088248,6.619478,0.910067
vmlinux-5.10.tar,0.00010000,4.725412,7.251064,0.740460
vmlinux-5.10.tar,1.00000000,4.192664,5.767010,0.881003
vmlinux-5.10.tar,10.00000000,5.171191,7.978150,0.777530
vmlinux-5.10.tar,9.83220392,4.684829,7.369623,0.759571
blue_sky_1080p25_short.y4m,0.00000001,3.080316,3.944731,0.780353
blue_sky_1080p25_short.y4m,0.00010000,3.115158,4.037759,0.755825
blue_sky_1080p25_short.y4m,1.00000000,3.158175,4.055322,0.777242
blue_sky_1080p25_short.y4m,10.00000000,3.123768,3.929457,0.823182
blue_sky_1080p25_short.y4m,8.00105984,3.001534,3.900418,0.730701
Johnny_1280x720_60_short.y4m,0.00000001,2.533349,3.265672,0.876051
Johnny_1280x720_60_short.y4m,0.00010000,2.544845,3.333357,0.842308
Johnny_1280x720_60_short.y4m,1.00000000,2.596186,3.366675,0.880730
Johnny_1280x720_60_short.y4m,10.00000000,2.544006,3.225278,0.945776
Johnny_1280x720_60_short.y4m,4.54783086,2.467130,3.231374,0.836008
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,0.00000001,8.507839,10.889280,0.772682
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,0.00010000,8.592589,11.201173,0.752648
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,1.00000000,8.744251,11.247915,0.777765
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,10.00000000,8.682001,10.973629,0.826162
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,1.86442087,8.363645,10.837394,0.738328
pedestrian_area_1080p25_short.y4m,0.00000001,3.523869,4.501024,0.708733
pedestrian_area_1080p25_short.y4m,0.00010000,3.580628,4.628518,0.701241
pedestrian_area_1080p25_short.y4m,1.00000000,3.565381,4.582082,0.710748
pedestrian_area_1080p25_short.y4m,10.00000000,3.566815,4.579370,0.730416
pedestrian_area_1080p25_short.y4m,8.00105984,3.419186,4.409723,0.668982
riverbed_1080p25_short.y4m,0.00000001,6.612311,8.618458,0.658343
riverbed_1080p25_short.y4m,0.00010000,6.709241,8.859496,0.657473
riverbed_1080p25_short.y4m,1.00000000,6.697460,8.785234,0.656701
riverbed_1080p25_short.y4m,10.00000000,6.692062,8.850535,0.665080
riverbed_1080p25_short.y4m,4.54783086,6.343230,8.306411,0.620990
